Luật | Luật Bảo Vệ Môi Trường 2020 , số 72/2020/QH14 | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-so-72-2020-QH14-Bao-ve-moi-truong-2020-431147.aspx
Thông tư | Thông tư 36/2024/TT-BTNMT , của Bộ Tài nguyên và Môi trường ban hành định mức kinh tế - kỹ thuật thu gom, vận chuyển, xử lý chất thải rắn sinh hoạt | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-36-2024-TT-BTNMT-Dinh-muc-kinh-te-ky-thuat-thu-gom-van-chuyen-xu-ly-chat-thai-ran-sinh-hoat-634784.aspx
Thông tư | Thông tư 45/2024/TT-BTNMT , của Bộ Tài nguyên và Môi trường ban hành quy chuẩn kỹ thuật quốc gia về khí thải công nghiệp | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-45-2024-TT-BTNMT-Quy-chuan-ky-thuat-quoc-gia-ve-khi-thai-cong-nghiep-638438.aspx
Thông tư | Thông tư 07/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định phân cấp, phân định thẩm quyền quản lý Nhà nước trong lĩnh vực môi trường và biến đổi khí hậu | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-07-2025-TT-BNNMT-phan-cap-quan-ly-Nha-nuoc-linh-vuc-moi-truong-va-bien-doi-khi-hau-662511.aspx
Thông tư | Thông tư 15/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định phân quyền, phân cấp, phân định thẩm quyền và sửa đổi, bổ sung một số điều của các thông tư trong lĩnh vực biển và hải đảo | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-15-2025-TT-BNNMT-phan-quyen-phan-cap-phan-dinh-tham-quyen-linh-vuc-bien-va-hai-dao-662238.aspx
Thông tư | Thông tư 17/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định về phân cấp quản lý Nhà nước trong lĩnh vực quản lý chất lượng nông lâm sản và thủy sản | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-17-2025-TT-BNNMT-phan-cap-quan-ly-nha-nuoc-quan-ly-chat-luong-nong-lam-san-thuy-san-662241.aspx
Thông tư | Thông tư 06/2025/TT-BTNMT , của Bộ Tài nguyên và Môi trường ban hành Quy chuẩn kỹ thuật quốc gia về nước thải công nghiệp | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-06-2025-TT-BTNMT-Quy-chuan-ky-thuat-quoc-gia-ve-nuoc-thai-cong-nghiep-645034.aspx
Thông tư | Thông tư 02/2025/TT-BNNMT , của Bộ Tài nguyên và Môi trường ban hành Quy chuẩn kỹ thuật quốc gia về khoảng cách an toàn về môi trường đối với khu dân cư của cơ sở sản xuất, kinh doanh, dịch vụ và kho tàng có nguy cơ phát tán bụi, mùi khó chịu, tiếng ồn tác động xấu đến sức khỏe con người | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-02-2025-TT-BNNMT-thoi-han-luu-tru-ho-so-linh-vuc-nong-nghiep-moi-truong-660317.aspx
Thông tư | Thông tư 01/2023/TT-BTNMT , của Bộ Tài nguyên và Môi trường ban hành Quy chuẩn kỹ thuật quốc gia về chất lượng môi trường xung quanh | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-01-2023-TT-BTNMT-Quy-chuan-ky-thuat-chat-luong-moi-truong-xung-quanh-559212.aspx
Thông tư | Thông tư 01/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường ban hành 03 quy chuẩn kỹ thuật quốc gia về chất lượng môi trường xung quanh | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-01-2025-TT-BNNMT-03-quy-chuan-ky-thuat-quoc-gia-chat-luong-moi-truong-xung-quanh-657766.aspx
Thông tư | Thông tư 44/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường ban hành Quy chuẩn kỹ thuật quốc gia về ngưỡng chất thải nguy hại | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-44-2025-TT-BNNMT-quy-chuan-ky-thuat-quoc-gia-ve-nguong-chat-thai-nguy-hai-668484.aspx
Thông tư | Thông tư 05/2025/TT-BTNMT , của Bộ Tài nguyên và Môi trường ban hành quy chuẩn kỹ thuật quốc gia về nước thải sinh hoạt và nước thải đô thị, khu dân cư tập trung | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-05-2025-TT-BTNMT-Quy-chuan-ky-thuat-quoc-gia-ve-nuoc-thai-sinh-hoat-645029.aspx
Thông tư | Thông tư 07/2025/TT-BTNMT , của Bộ Tài nguyên và Môi trường sửa đổi, bổ sung một số điều của Thông tư 02/2022/TT-BTNMT ngày 10/01/2022 của Bộ trưởng Bộ Tài nguyên và Môi trường quy định chi tiết thi hành một số điều của Luật Bảo vệ môi trường | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-07-2025-TT-BTNMT-sua-doi-Thong-tu-02-2022-TT-BTNMT-huong-dan-Luat-Bao-ve-moi-truong-585075.aspx
Thông tư | Thông tư 08/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường sửa đổi, bổ sung một số điều của Thông tư 01/2022/TT-BTNMT ngày 07/01/2022 của Bộ trưởng Bộ Tài nguyên và Môi trường quy định chi tiết thi hành Luật Bảo vệ môi trường về ứng phó với biến đổi khí hậu | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-08-2025-TT-BNNMT-sua-doi-Thong-tu-01-2022-TT-BTNMT-ung-pho-voi-bien-doi-khi-hau-662231.aspx
Thông tư | Thông tư 52/2024/TT-BTNMT , của Bộ Tài nguyên và Môi trường quy định chi tiết bộ chỉ số và việc đánh giá kết quả hoạt động kiểm soát ô nhiễm môi trường biển và hải đảo | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-52-2024-TT-BTNMT-huong-dan-danh-gia-ket-qua-hoat-dong-kiem-soat-o-nhiem-moi-truong-bien-638885.aspx
Thông tư | Thông tư 01/2024/TT-BTNMT , của Bộ Tài nguyên và Môi trường quy định định mức cho hoạt động thực hiện đánh giá môi trường chiến lược của quy hoạch | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-01-2024-TT-BTNMT-dinh-muc-danh-gia-moi-truong-chien-luoc-cua-quy-hoach-598351.aspx
Thông tư | Thông tư 06/2023/TT-BTNMT , của Bộ Tài nguyên và Môi trường hướng dẫn lồng ghép nội dung ứng phó với biến đổi khí hậu vào chiến lược, quy hoạch | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-06-2023-TT-BTNMT-long-ghep-noi-dung-ung-pho-voi-bien-doi-khi-hau-vao-chien-luoc-575333.aspx
Thông tư | Thông tư 02/2022/TT-BTNMT , của Bộ Tài nguyên và Môi trường về việc quy định chi tiết thi hành một số điều của Luật Bảo vệ môi trường | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-02-2022-TT-BTNMT-huong-dan-Luat-Bao-ve-moi-truong-500694.aspx
Thông tư | Thông tư 01/2022/TT-BTNMT , của Bộ Tài nguyên và Môi trường về việc quy định chi tiết thi hành Luật Bảo vệ môi trường về ứng phó với biến đổi khí hậu | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-01-2022-TT-BTNMT-huong-dan-Luat-Bao-ve-moi-truong-500962.aspx
Thông tư | Thông tư 10/2021/TT-BTNMT , của Bộ Tài nguyên và Môi trường quy định kỹ thuật quan trắc môi trường và quản lý thông tin, dữ liệu quan trắc chất lượng môi trường | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-10-2021-TT-BTNMT-ky-thuat-quan-trac-moi-truong-481294.aspx
Thông tư | Thông tư 23/2023/TT-BTNMT , của Bộ Tài nguyên và Môi trường sửa đổi, bổ sung một số điều của Thông tư 20/2016/TT-BTNMT ngày 25/8/2016 của Bộ trưởng Bộ Tài nguyên và Môi trường quy định về xây dựng, khai thác và sử dụng cơ sở dữ liệu tài nguyên, môi trường biển và hải đảo | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-23-2023-TT-BTNMT-sua-doi-Thong-tu-20-2016-TT-BTNMT-co-so-du-lieu-tai-nguyen-592865.aspx
